iteration,loss,params,train_time,n_trees
53,405.33496,"{'colsample_bytree': 0.75, 'depth': 15, 'eval_metric': 'rmse', 'gamma': 1.0, 'min_child_weight': 6.0, 'objective': 'reg:linear', 'subsample': 0.8500000000000001}",577.9356624014399,26
54,387.66382,"{'colsample_bytree': 0.7000000000000001, 'depth': 9, 'eval_metric': 'rmse', 'gamma': 0.55, 'min_child_weight': 14.0, 'objective': 'reg:linear', 'subsample': 0.8}",865.9914853710507,180
55,389.13495,"{'colsample_bytree': 0.8, 'depth': 11, 'eval_metric': 'rmse', 'gamma': 0.2, 'min_child_weight': 10.0, 'objective': 'reg:linear', 'subsample': 0.9500000000000001}",459.53287567897496,33
56,467.18826,"{'colsample_bytree': 0.75, 'depth': 1, 'eval_metric': 'rmse', 'gamma': 0.9, 'min_child_weight': 12.0, 'objective': 'reg:linear', 'subsample': 0.6000000000000001}",474.1753606882485,894
57,388.2933,"{'colsample_bytree': 0.7000000000000001, 'depth': 8, 'eval_metric': 'rmse', 'gamma': 0.35000000000000003, 'min_child_weight': 14.0, 'objective': 'reg:linear', 'subsample': 0.8500000000000001}",442.5271407806722,79
58,391.53168,"{'colsample_bytree': 0.75, 'depth': 6, 'eval_metric': 'rmse', 'gamma': 0.75, 'min_child_weight': 12.0, 'objective': 'reg:linear', 'subsample': 1.0}",598.7960138912822,185
59,398.91208,"{'colsample_bytree': 0.8500000000000001, 'depth': 3, 'eval_metric': 'rmse', 'gamma': 0.2, 'min_child_weight': 6.0, 'objective': 'reg:linear', 'subsample': 0.8}",1182.5329892159207,771
60,394.26562,"{'colsample_bytree': 0.7000000000000001, 'depth': 10, 'eval_metric': 'rmse', 'gamma': 0.65, 'min_child_weight': 2.0, 'objective': 'reg:linear', 'subsample': 0.7000000000000001}",488.87198357370653,60
61,388.72296,"{'colsample_bytree': 0.8, 'depth': 12, 'eval_metric': 'rmse', 'gamma': 0.8, 'min_child_weight': 14.0, 'objective': 'reg:linear', 'subsample': 0.75}",558.4024576577795,43
62,390.08652,"{'colsample_bytree': 0.75, 'depth': 5, 'eval_metric': 'rmse', 'gamma': 0.55, 'min_child_weight': 4.0, 'objective': 'reg:linear', 'subsample': 0.9}",990.9924812247118,414
63,393.16525,"{'colsample_bytree': 0.8, 'depth': 4, 'eval_metric': 'rmse', 'gamma': 0.9500000000000001, 'min_child_weight': 8.0, 'objective': 'reg:linear', 'subsample': 0.9}",1189.2692435489225,612
64,386.4502,"{'colsample_bytree': 0.8500000000000001, 'depth': 12, 'eval_metric': 'rmse', 'gamma': 0.5, 'min_child_weight': 12.0, 'objective': 'reg:linear', 'subsample': 0.9500000000000001}",542.6988500055159,35
65,387.36526,"{'colsample_bytree': 0.7000000000000001, 'depth': 6, 'eval_metric': 'rmse', 'gamma': 0.35000000000000003, 'min_child_weight': 14.0, 'objective': 'reg:linear', 'subsample': 0.8500000000000001}",913.1730100887507,325
66,404.5844,"{'colsample_bytree': 0.9, 'depth': 3, 'eval_metric': 'rmse', 'gamma': 0.65, 'min_child_weight': 12.0, 'objective': 'reg:linear', 'subsample': 0.9500000000000001}",778.4258578132649,469
67,399.59125,"{'colsample_bytree': 0.75, 'depth': 13, 'eval_metric': 'rmse', 'gamma': 0.4, 'min_child_weight': 8.0, 'objective': 'reg:linear', 'subsample': 0.6000000000000001}",514.6689596424258,32
68,387.84543,"{'colsample_bytree': 0.8500000000000001, 'depth': 10, 'eval_metric': 'rmse', 'gamma': 0.8, 'min_child_weight': 10.0, 'objective': 'reg:linear', 'subsample': 0.75}",486.56089107894513,44
69,421.1267,"{'colsample_bytree': 0.8, 'depth': 2, 'eval_metric': 'rmse', 'gamma': 0.25, 'min_child_weight': 14.0, 'objective': 'reg:linear', 'subsample': 0.8}",553.9701891769146,543
70,387.08868,"{'colsample_bytree': 0.7000000000000001, 'depth': 12, 'eval_metric': 'rmse', 'gamma': 0.9, 'min_child_weight': 12.0, 'objective': 'reg:linear', 'subsample': 0.7000000000000001}",554.9808895522947,54
51,380.83865,"{'colsample_bytree': 0.7000000000000001, 'depth': 15, 'eval_metric': 'rmse', 'gamma': 0.6000000000000001, 'min_child_weight': 900.0, 'objective': 'reg:linear', 'subsample': 1.0}",3116.0831160950474,485
52,380.63873,"{'colsample_bytree': 0.75, 'depth': 8, 'eval_metric': 'rmse', 'gamma': 0.5, 'min_child_weight': 750.0, 'objective': 'reg:linear', 'subsample': 0.9500000000000001}",1702.9036177230591,460
53,380.36435,"{'colsample_bytree': 0.8500000000000001, 'depth': 10, 'eval_metric': 'rmse', 'gamma': 0.9, 'min_child_weight': 1500.0, 'objective': 'reg:linear', 'subsample': 0.8500000000000001}",3371.936110134673,669
54,382.8439,"{'colsample_bytree': 0.8, 'depth': 7, 'eval_metric': 'rmse', 'gamma': 0.5, 'min_child_weight': 200.0, 'objective': 'reg:linear', 'subsample': 0.7000000000000001}",1048.711987255636,283
55,388.79218,"{'colsample_bytree': 0.9, 'depth': 14, 'eval_metric': 'rmse', 'gamma': 0.2, 'min_child_weight': 1350.0, 'objective': 'reg:linear', 'subsample': 0.5}",2461.062365776248,321
